band,land_type,class
1,Temperate or sub-polar needleleaf forest,woodland
2,Sub-polar taiga needleleaf forest,woodland
3,Tropical or sub-tropical broadleaf evergreen forest,woodland
4,Tropical or sub-tropical broadleaf deciduous forest,woodland
5,Temperate or sub-polar broadleaf deciduous forest,woodland
6,Mixed forest,woodland
7,Tropical or sub-tropical shrubland,woodland
8,Temperate or sub-polar shrubland,woodland
9,Tropical or sub-tropical grassland,grassland
10,Temperate or sub-polar grassland,grassland
11,Sub-polar or polar shrubland-lichen-moss,woodland
12,Sub-polar or polar grassland-lichen-moss,grassland
13,Sub-polar or polar barren-lichen-moss,barren land
14,Wetland,water
15,Cropland,cropland
16,Barren lands,barren land
17,Urban,urban
18,Water,water
19,Snow and Ice,water
